#@length_unit mm
-110 0 0
-109.829 0 32.0648
-108.647 0 35.6705
-108.65 31 35.6705
-107.416 35 37.4533
-106.481 36.0841 38.4624
-103.084 38.8759 40.5955
-98.6401 39.9976 41.5084
-43.6458 40.4027 41.9043
-33.8076 43.5152 45.2687
-27.3606 51.0925 54.2783
-22.9623 59.8796 63.2852
-18.0893 68.6233 71.4126
-12.2671 76.826 79.2565
-5.65007 84.2188 86.3265
2.09728 90.4598 92.3066
10.6724 95.1553 96.803
20.0733 97.9604 99.5055
29.9204 99.4007 100.905
39.9182 99.3384 100.846
49.8607 97.8127 99.3918
59.4345 94.2893 95.9735
68.3814 88.9034 90.7321
76.581 82.4206 84.4725
83.5154 74.5809 76.9557
89.9187 66.2397 68.9368
95.2918 56.6831 60.0639
99.6867 46.8337 50.8971
103.405 35.3909 41.1194
106.303 23.8773 30.596
107.669 13.4135 25.291
108.556 0 20.8952
108.658 0 20.3897
109.334 0 13.4348
109.825 0 8.53213
110 0 0
